time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-06 00:00:00+00:00,9.0,5.0,23,4
2025-03-07 00:00:00+00:00,19.0,7.0,27,5
2025-03-08 00:00:00+00:00,10.0,6.0,8,3
2025-03-09 00:00:00+00:00,7.0,4.0,4,2
2025-03-10 00:00:00+00:00,9.0,6.0,11,5
2025-03-11 00:00:00+00:00,9.0,5.0,23,7
2025-03-12 00:00:00+00:00,7.0,6.0,14,7
2025-03-13 00:00:00+00:00,7.0,4.0,6,3
2025-03-14 00:00:00+00:00,5.0,4.0,29,11
2025-03-15 00:00:00+00:00,7.0,4.0,17,4
2025-03-16 00:00:00+00:00,12.0,7.0,11,2
2025-03-17 00:00:00+00:00,12.0,7.0,18,9
2025-03-18 00:00:00+00:00,21.0,5.0,60,12
2025-03-19 00:00:00+00:00,,,6,2
