time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-24 00:00:00+00:00,6.0,4.0,15,7
2025-03-25 00:00:00+00:00,72.0,12.0,41,6
2025-03-26 00:00:00+00:00,18.0,10.0,32,10
2025-03-27 00:00:00+00:00,13.0,8.0,26,7
2025-03-28 00:00:00+00:00,9.0,6.0,20,6
2025-03-29 00:00:00+00:00,7.0,4.0,3,3
2025-03-30 00:00:00+00:00,16.0,8.0,27,2
2025-03-31 00:00:00+00:00,23.0,12.0,40,3
2025-04-01 00:00:00+00:00,11.0,10.0,42,11
2025-04-02 00:00:00+00:00,14.0,11.0,37,7
2025-04-03 00:00:00+00:00,65.0,13.0,2,1
2025-04-04 00:00:00+00:00,13.0,8.0,6,4
2025-04-05 00:00:00+00:00,8.0,6.0,19,8
2025-04-06 00:00:00+00:00,,,7,1
