time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-28 00:00:00+00:00,10,9,,
2025-09-29 00:00:00+00:00,53,34,89.0,9.0
2025-09-30 00:00:00+00:00,99,35,29.0,10.0
2025-10-01 00:00:00+00:00,107,15,17.0,8.0
2025-10-02 00:00:00+00:00,44,23,60.0,11.0
2025-10-03 00:00:00+00:00,84,22,14.0,6.0
2025-10-04 00:00:00+00:00,3,3,2.0,2.0
2025-10-05 00:00:00+00:00,2,2,3.0,3.0
2025-10-06 00:00:00+00:00,4,3,13.0,7.0
2025-10-07 00:00:00+00:00,17,14,78.0,23.0
2025-10-08 00:00:00+00:00,14,14,75.0,9.0
2025-10-09 00:00:00+00:00,19,17,29.0,11.0
2025-10-10 00:00:00+00:00,16,14,96.0,5.0
2025-10-11 00:00:00+00:00,16,12,1.0,1.0
