time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-30 00:00:00+00:00,22,10,14,6
2025-07-31 00:00:00+00:00,19,7,33,9
2025-08-01 00:00:00+00:00,10,4,22,8
2025-08-02 00:00:00+00:00,9,3,2,2
2025-08-03 00:00:00+00:00,12,6,21,4
2025-08-04 00:00:00+00:00,15,9,26,8
2025-08-05 00:00:00+00:00,97,24,99,10
2025-08-06 00:00:00+00:00,81,40,90,6
2025-08-07 00:00:00+00:00,22,12,32,6
2025-08-08 00:00:00+00:00,14,8,4,4
2025-08-09 00:00:00+00:00,22,5,2,2
2025-08-10 00:00:00+00:00,11,5,1,1
2025-08-11 00:00:00+00:00,43,18,19,6
2025-08-12 00:00:00+00:00,11,7,12,5
