time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-10 00:00:00+00:00,9,6,11,5
2025-03-11 00:00:00+00:00,9,5,23,7
2025-03-12 00:00:00+00:00,7,6,14,7
2025-03-13 00:00:00+00:00,7,4,6,3
2025-03-14 00:00:00+00:00,5,4,29,11
2025-03-15 00:00:00+00:00,7,4,17,4
2025-03-16 00:00:00+00:00,12,7,11,2
2025-03-17 00:00:00+00:00,12,7,18,9
2025-03-18 00:00:00+00:00,21,5,60,12
2025-03-19 00:00:00+00:00,4,4,6,2
2025-03-20 00:00:00+00:00,4,3,44,12
2025-03-21 00:00:00+00:00,6,6,73,8
2025-03-22 00:00:00+00:00,6,5,6,2
2025-03-23 00:00:00+00:00,12,4,3,2
