time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-23 00:00:00+00:00,10,6,12.0,3.0
2025-09-24 00:00:00+00:00,9,5,25.0,5.0
2025-09-25 00:00:00+00:00,11,9,43.0,11.0
2025-09-26 00:00:00+00:00,9,8,51.0,7.0
2025-09-27 00:00:00+00:00,15,13,8.0,2.0
2025-09-28 00:00:00+00:00,10,9,,
2025-09-29 00:00:00+00:00,53,34,89.0,9.0
2025-09-30 00:00:00+00:00,99,35,29.0,10.0
2025-10-01 00:00:00+00:00,107,15,17.0,8.0
2025-10-02 00:00:00+00:00,44,23,60.0,11.0
2025-10-03 00:00:00+00:00,84,22,14.0,6.0
2025-10-04 00:00:00+00:00,3,3,2.0,2.0
2025-10-05 00:00:00+00:00,2,2,3.0,3.0
2025-10-06 00:00:00+00:00,3,2,13.0,7.0
