time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-08 00:00:00+00:00,7,5,29,5
2025-04-09 00:00:00+00:00,7,6,29,4
2025-04-10 00:00:00+00:00,14,10,44,5
2025-04-11 00:00:00+00:00,11,6,51,9
2025-04-12 00:00:00+00:00,20,7,7,3
2025-04-13 00:00:00+00:00,6,4,9,2
2025-04-14 00:00:00+00:00,5,5,11,4
2025-04-15 00:00:00+00:00,5,5,15,1
2025-04-16 00:00:00+00:00,4,2,2,2
2025-04-17 00:00:00+00:00,10,6,29,5
2025-04-18 00:00:00+00:00,23,12,6,4
2025-04-19 00:00:00+00:00,8,5,18,2
2025-04-20 00:00:00+00:00,6,4,12,2
2025-04-21 00:00:00+00:00,1,1,11,4
