time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-13 00:00:00+00:00,6.0,4.0,9,2
2025-04-14 00:00:00+00:00,5.0,5.0,11,4
2025-04-15 00:00:00+00:00,5.0,5.0,15,1
2025-04-16 00:00:00+00:00,4.0,2.0,2,2
2025-04-17 00:00:00+00:00,10.0,6.0,29,5
2025-04-18 00:00:00+00:00,23.0,12.0,6,4
2025-04-19 00:00:00+00:00,8.0,5.0,18,2
2025-04-20 00:00:00+00:00,6.0,4.0,12,2
2025-04-21 00:00:00+00:00,6.0,4.0,11,4
2025-04-22 00:00:00+00:00,40.0,12.0,54,5
2025-04-23 00:00:00+00:00,12.0,8.0,23,7
2025-04-24 00:00:00+00:00,11.0,8.0,58,8
2025-04-25 00:00:00+00:00,7.0,7.0,7,3
2025-04-26 00:00:00+00:00,,,12,4
