time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-15 00:00:00+00:00,64,19,26,4
2026-03-16 00:00:00+00:00,103,28,88,15
2026-03-17 00:00:00+00:00,147,31,151,29
2026-03-18 00:00:00+00:00,160,23,97,18
2026-03-19 00:00:00+00:00,55,19,25,14
2026-03-20 00:00:00+00:00,56,21,31,13
2026-03-21 00:00:00+00:00,79,32,10,1
2026-03-22 00:00:00+00:00,102,29,25,7
2026-03-23 00:00:00+00:00,343,61,113,12
2026-03-24 00:00:00+00:00,85,23,31,12
2026-03-25 00:00:00+00:00,80,19,24,4
2026-03-26 00:00:00+00:00,49,15,50,11
2026-03-27 00:00:00+00:00,47,12,20,7
2026-03-28 00:00:00+00:00,56,28,2,1
