time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-25 00:00:00+00:00,9,5,30.0,5.0
2025-06-26 00:00:00+00:00,19,8,62.0,6.0
2025-06-27 00:00:00+00:00,15,8,17.0,6.0
2025-06-28 00:00:00+00:00,13,7,,
2025-06-29 00:00:00+00:00,11,5,4.0,4.0
2025-06-30 00:00:00+00:00,68,27,74.0,9.0
2025-07-01 00:00:00+00:00,20,9,128.0,11.0
2025-07-02 00:00:00+00:00,31,15,58.0,9.0
2025-07-03 00:00:00+00:00,35,16,112.0,10.0
2025-07-04 00:00:00+00:00,16,9,26.0,7.0
2025-07-05 00:00:00+00:00,22,10,7.0,3.0
2025-07-06 00:00:00+00:00,12,6,30.0,2.0
2025-07-07 00:00:00+00:00,25,18,69.0,9.0
2025-07-08 00:00:00+00:00,10,5,37.0,8.0
