time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-04 00:00:00+00:00,68,17,4,3
2026-05-05 00:00:00+00:00,327,47,95,10
2026-05-06 00:00:00+00:00,381,39,18,8
2026-05-07 00:00:00+00:00,149,24,14,11
2026-05-08 00:00:00+00:00,32,17,12,6
2026-05-09 00:00:00+00:00,45,17,0,0
2026-05-10 00:00:00+00:00,51,14,12,5
2026-05-11 00:00:00+00:00,38,15,10,7
2026-05-12 00:00:00+00:00,187,26,11,5
2026-05-13 00:00:00+00:00,96,24,6,4
2026-05-14 00:00:00+00:00,151,28,15,6
2026-05-15 00:00:00+00:00,259,21,20,8
2026-05-16 00:00:00+00:00,55,20,8,3
2026-05-17 00:00:00+00:00,41,18,5,2
