time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-27 00:00:00+00:00,28,17,12,7
2025-10-28 00:00:00+00:00,11,10,40,6
2025-10-29 00:00:00+00:00,22,14,19,12
2025-10-30 00:00:00+00:00,31,17,20,7
2025-10-31 00:00:00+00:00,27,20,50,11
2025-11-01 00:00:00+00:00,9,7,6,4
2025-11-02 00:00:00+00:00,7,6,4,1
2025-11-03 00:00:00+00:00,40,13,29,8
2025-11-04 00:00:00+00:00,42,22,25,11
2025-11-05 00:00:00+00:00,25,17,42,9
2025-11-06 00:00:00+00:00,50,32,42,9
2025-11-07 00:00:00+00:00,43,27,24,10
2025-11-08 00:00:00+00:00,24,16,2,2
2025-11-09 00:00:00+00:00,26,12,1,1
