time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-29 00:00:00+00:00,19,5,68,13
2025-08-30 00:00:00+00:00,14,8,3,3
2025-08-31 00:00:00+00:00,12,6,2,2
2025-09-01 00:00:00+00:00,15,9,29,4
2025-09-02 00:00:00+00:00,66,16,67,9
2025-09-03 00:00:00+00:00,55,25,51,6
2025-09-04 00:00:00+00:00,14,11,31,5
2025-09-05 00:00:00+00:00,8,7,19,9
2025-09-06 00:00:00+00:00,8,8,2,1
2025-09-07 00:00:00+00:00,7,6,5,2
2025-09-08 00:00:00+00:00,15,9,49,11
2025-09-09 00:00:00+00:00,6,6,57,13
2025-09-10 00:00:00+00:00,5,5,27,4
2025-09-11 00:00:00+00:00,6,5,34,6
