referrer,views_total,views_unique
github.com,111,15
Google,54,16
DuckDuckGo,16,1
search.brave.com,9,2
chatgpt.com,3,1
yandex.ru,3,1
Bing,2,2
sph-exa.readthedocs.io,1,1
