time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-31 00:00:00+00:00,23,12,40,3
2025-04-01 00:00:00+00:00,11,10,42,11
2025-04-02 00:00:00+00:00,14,11,37,7
2025-04-03 00:00:00+00:00,65,13,2,1
2025-04-04 00:00:00+00:00,13,8,6,4
2025-04-05 00:00:00+00:00,8,6,19,8
2025-04-06 00:00:00+00:00,3,3,7,1
2025-04-07 00:00:00+00:00,10,7,45,3
2025-04-08 00:00:00+00:00,7,5,29,5
2025-04-09 00:00:00+00:00,7,6,29,4
2025-04-10 00:00:00+00:00,14,10,44,5
2025-04-11 00:00:00+00:00,11,6,51,9
2025-04-12 00:00:00+00:00,20,7,7,3
2025-04-13 00:00:00+00:00,1,1,9,2
