referrer,views_total,views_unique
Google,81,17
github.com,16,4
search.brave.com,9,1
jfavre.github.io,8,4
arxiv.org,5,1
overleaf.com,2,2
Bing,2,1
chatgpt.com,2,1
hpc.dmi.unibas.ch,1,1
packages.spack.io,1,1
