time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-07 00:00:00+00:00,25.0,18.0,69,9
2025-07-08 00:00:00+00:00,21.0,9.0,39,9
2025-07-09 00:00:00+00:00,59.0,18.0,60,5
2025-07-10 00:00:00+00:00,48.0,15.0,44,11
2025-07-11 00:00:00+00:00,18.0,9.0,22,5
2025-07-12 00:00:00+00:00,13.0,7.0,6,1
2025-07-13 00:00:00+00:00,10.0,4.0,5,3
2025-07-14 00:00:00+00:00,18.0,7.0,48,11
2025-07-15 00:00:00+00:00,45.0,13.0,113,10
2025-07-16 00:00:00+00:00,13.0,6.0,18,5
2025-07-17 00:00:00+00:00,26.0,7.0,21,5
2025-07-18 00:00:00+00:00,14.0,8.0,16,9
2025-07-19 00:00:00+00:00,31.0,7.0,6,3
2025-07-20 00:00:00+00:00,,,31,3
