referrer,views_total,views_unique
Google,36,8
github.com,23,15
sph-exa.readthedocs.io,15,3
spec.org,6,1
hpc.dmi.unibas.ch,5,1
Bing,4,3
spheric-sph.org,3,2
aanda.org,3,1
DuckDuckGo,2,1
chatgpt.com,1,1
