referrer,views_total,views_unique
Google,131,29
github.com,13,6
linkedin.com,5,1
hpc.dmi.unibas.ch,3,2
sph-exa.readthedocs.io,2,2
spheric-sph.org,2,1
cn.bing.com,1,1
search.brave.com,1,1
confluence.cscs.ch,1,1
