referrer,views_total,views_unique
github.com,40,7
Google,26,5
spheric-sph.org,6,1
DuckDuckGo,4,1
Bing,3,1
cn.bing.com,2,2
arxiv.org,1,1
sogou.com,1,1
hpc.dmi.unibas.ch,1,1
