time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-07 00:00:00+00:00,17,14,78,23
2025-10-08 00:00:00+00:00,14,14,75,9
2025-10-09 00:00:00+00:00,19,17,29,11
2025-10-10 00:00:00+00:00,16,14,96,5
2025-10-11 00:00:00+00:00,26,19,1,1
2025-10-12 00:00:00+00:00,9,7,18,8
2025-10-13 00:00:00+00:00,36,22,33,10
2025-10-14 00:00:00+00:00,60,27,21,8
2025-10-15 00:00:00+00:00,31,13,12,4
2025-10-16 00:00:00+00:00,26,13,29,5
2025-10-17 00:00:00+00:00,35,16,22,7
2025-10-18 00:00:00+00:00,24,15,23,2
2025-10-19 00:00:00+00:00,17,10,6,4
2025-10-20 00:00:00+00:00,14,8,18,10
