referrer,views_total,views_unique
github.com,122,7
Google,71,14
Bing,10,4
overleaf.com,9,3
chatgpt.com,8,1
DuckDuckGo,2,2
hpc.dmi.unibas.ch,1,1
jira.cscs.ch,1,1
