referrer,views_total,views_unique
Google,32,19
arxiv.org,24,1
spec.org,21,3
Bing,13,2
sph-exa.readthedocs.io,11,3
spheric-sph.org,11,3
yandex.ru,3,1
chatgpt.com,3,1
github.com,1,1
github.dev,1,1
