time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-07 00:00:00+00:00,22.0,12.0,32,6
2025-08-08 00:00:00+00:00,14.0,8.0,4,4
2025-08-09 00:00:00+00:00,22.0,5.0,2,2
2025-08-10 00:00:00+00:00,11.0,5.0,1,1
2025-08-11 00:00:00+00:00,43.0,18.0,19,6
2025-08-12 00:00:00+00:00,24.0,13.0,12,5
2025-08-13 00:00:00+00:00,72.0,19.0,21,4
2025-08-14 00:00:00+00:00,2.0,2.0,17,7
2025-08-15 00:00:00+00:00,,,12,3
2025-08-16 00:00:00+00:00,,,5,4
2025-08-17 00:00:00+00:00,,,6,4
2025-08-18 00:00:00+00:00,,,15,2
2025-08-19 00:00:00+00:00,,,7,4
2025-08-20 00:00:00+00:00,,,4,2
