time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-03 00:00:00+00:00,45,16,14,9
2026-04-04 00:00:00+00:00,33,13,2,2
2026-04-05 00:00:00+00:00,45,14,4,4
2026-04-06 00:00:00+00:00,31,15,4,1
2026-04-07 00:00:00+00:00,43,13,1,1
2026-04-08 00:00:00+00:00,28,13,111,9
2026-04-09 00:00:00+00:00,57,18,17,6
2026-04-10 00:00:00+00:00,63,24,38,4
2026-04-11 00:00:00+00:00,48,16,20,4
2026-04-12 00:00:00+00:00,15,12,20,6
2026-04-13 00:00:00+00:00,55,20,4,4
2026-04-14 00:00:00+00:00,96,24,20,5
2026-04-15 00:00:00+00:00,30,15,81,10
2026-04-16 00:00:00+00:00,63,23,28,5
