referrer,views_total,views_unique
github.com,166,9
Google,68,9
hpc.dmi.unibas.ch,2,2
sph-exa.readthedocs.io,2,2
Bing,1,1
DuckDuckGo,1,1
chatgpt.com,1,1
spec.org,1,1
