time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-25 00:00:00+00:00,13,7,87,3
2025-02-26 00:00:00+00:00,8,5,97,7
2025-02-27 00:00:00+00:00,15,9,7,4
2025-02-28 00:00:00+00:00,9,5,15,2
2025-03-01 00:00:00+00:00,9,6,15,6
2025-03-02 00:00:00+00:00,10,6,1,1
2025-03-03 00:00:00+00:00,7,6,102,12
2025-03-04 00:00:00+00:00,11,7,88,6
2025-03-05 00:00:00+00:00,11,8,38,7
2025-03-06 00:00:00+00:00,9,5,23,4
2025-03-07 00:00:00+00:00,19,7,27,5
2025-03-08 00:00:00+00:00,10,6,8,3
2025-03-09 00:00:00+00:00,7,4,4,2
2025-03-10 00:00:00+00:00,3,3,11,5
