referrer,views_total,views_unique
Google,65,22
github.com,18,8
sogo.uni-heidelberg.de,10,1
Bing,8,2
linkedin.com,5,1
spheric-sph.org,4,3
search.brave.com,2,2
sph-exa.readthedocs.io,1,1
