time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-16 00:00:00+00:00,13,6,18,5
2025-07-17 00:00:00+00:00,26,7,21,5
2025-07-18 00:00:00+00:00,14,8,16,9
2025-07-19 00:00:00+00:00,31,7,6,3
2025-07-20 00:00:00+00:00,9,3,31,3
2025-07-21 00:00:00+00:00,13,7,7,5
2025-07-22 00:00:00+00:00,12,6,26,4
2025-07-23 00:00:00+00:00,14,8,26,5
2025-07-24 00:00:00+00:00,13,7,13,5
2025-07-25 00:00:00+00:00,16,8,15,8
2025-07-26 00:00:00+00:00,11,5,21,4
2025-07-27 00:00:00+00:00,11,5,11,3
2025-07-28 00:00:00+00:00,16,9,20,7
2025-07-29 00:00:00+00:00,5,5,31,8
