time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-12 00:00:00+00:00,61,10,48,9
2025-06-13 00:00:00+00:00,19,11,53,6
2025-06-14 00:00:00+00:00,57,9,19,7
2025-06-15 00:00:00+00:00,12,6,5,3
2025-06-16 00:00:00+00:00,173,6,17,5
2025-06-17 00:00:00+00:00,140,11,11,6
2025-06-18 00:00:00+00:00,18,12,33,7
2025-06-19 00:00:00+00:00,13,6,16,8
2025-06-20 00:00:00+00:00,13,7,50,11
2025-06-21 00:00:00+00:00,10,4,16,3
2025-06-22 00:00:00+00:00,11,4,1,1
2025-06-23 00:00:00+00:00,19,10,8,5
2025-06-24 00:00:00+00:00,65,20,38,10
2025-06-25 00:00:00+00:00,3,3,30,5
