referrer,views_total,views_unique
Google,47,20
spec.org,21,3
Bing,18,4
spheric-sph.org,12,4
github.com,11,3
chatgpt.com,9,2
sph-exa.readthedocs.io,5,1
yandex.ru,3,1
docs.google.com,2,1
fr.search.yahoo.com,2,1
