time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-18 00:00:00+00:00,43.0,10.0,15,2
2025-08-19 00:00:00+00:00,66.0,21.0,7,4
2025-08-20 00:00:00+00:00,19.0,6.0,12,2
2025-08-21 00:00:00+00:00,28.0,16.0,23,5
2025-08-22 00:00:00+00:00,25.0,14.0,26,7
2025-08-23 00:00:00+00:00,11.0,5.0,2,1
2025-08-24 00:00:00+00:00,13.0,7.0,5,4
2025-08-25 00:00:00+00:00,53.0,17.0,29,4
2025-08-26 00:00:00+00:00,80.0,18.0,21,5
2025-08-27 00:00:00+00:00,17.0,10.0,10,2
2025-08-28 00:00:00+00:00,19.0,8.0,6,4
2025-08-29 00:00:00+00:00,19.0,5.0,68,13
2025-08-30 00:00:00+00:00,14.0,8.0,3,3
2025-08-31 00:00:00+00:00,,,2,2
