time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-16 00:00:00+00:00,10,4,5,4
2025-08-17 00:00:00+00:00,16,10,6,4
2025-08-18 00:00:00+00:00,43,10,15,2
2025-08-19 00:00:00+00:00,66,21,7,4
2025-08-20 00:00:00+00:00,19,6,12,2
2025-08-21 00:00:00+00:00,28,16,23,5
2025-08-22 00:00:00+00:00,25,14,26,7
2025-08-23 00:00:00+00:00,11,5,2,1
2025-08-24 00:00:00+00:00,13,7,5,4
2025-08-25 00:00:00+00:00,53,17,29,4
2025-08-26 00:00:00+00:00,80,18,21,5
2025-08-27 00:00:00+00:00,17,10,10,2
2025-08-28 00:00:00+00:00,19,8,6,4
2025-08-29 00:00:00+00:00,10,3,68,13
