time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-30 00:00:00+00:00,34,14,48,9
2026-01-31 00:00:00+00:00,29,13,6,4
2026-02-01 00:00:00+00:00,30,14,7,5
2026-02-02 00:00:00+00:00,78,24,117,9
2026-02-03 00:00:00+00:00,35,19,58,9
2026-02-04 00:00:00+00:00,119,31,46,9
2026-02-05 00:00:00+00:00,47,18,22,9
2026-02-06 00:00:00+00:00,33,10,46,11
2026-02-07 00:00:00+00:00,34,12,4,4
2026-02-08 00:00:00+00:00,18,11,3,3
2026-02-09 00:00:00+00:00,29,13,18,6
2026-02-10 00:00:00+00:00,39,16,54,10
2026-02-11 00:00:00+00:00,37,17,45,10
2026-02-12 00:00:00+00:00,62,19,15,7
