time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-14 00:00:00+00:00,17,11,7.0,4.0
2025-11-15 00:00:00+00:00,8,6,6.0,3.0
2025-11-16 00:00:00+00:00,8,5,19.0,2.0
2025-11-17 00:00:00+00:00,8,8,21.0,8.0
2025-11-18 00:00:00+00:00,42,19,37.0,13.0
2025-11-19 00:00:00+00:00,90,36,41.0,11.0
2025-11-20 00:00:00+00:00,18,14,51.0,6.0
2025-11-21 00:00:00+00:00,32,20,35.0,9.0
2025-11-22 00:00:00+00:00,17,15,,
2025-11-23 00:00:00+00:00,14,11,51.0,6.0
2025-11-24 00:00:00+00:00,67,35,81.0,11.0
2025-11-25 00:00:00+00:00,60,29,98.0,14.0
2025-11-26 00:00:00+00:00,39,21,25.0,7.0
2025-11-27 00:00:00+00:00,5,5,20.0,6.0
