time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-18 00:00:00+00:00,26,18,41,2
2026-01-19 00:00:00+00:00,47,23,35,12
2026-01-20 00:00:00+00:00,78,30,38,7
2026-01-21 00:00:00+00:00,187,51,47,6
2026-01-22 00:00:00+00:00,85,24,44,10
2026-01-23 00:00:00+00:00,88,31,77,10
2026-01-24 00:00:00+00:00,260,37,20,3
2026-01-25 00:00:00+00:00,39,14,20,8
2026-01-26 00:00:00+00:00,48,25,54,11
2026-01-27 00:00:00+00:00,43,20,12,6
2026-01-28 00:00:00+00:00,63,25,74,10
2026-01-29 00:00:00+00:00,77,22,41,11
2026-01-30 00:00:00+00:00,34,14,48,9
2026-01-31 00:00:00+00:00,29,13,6,4
