referrer,views_total,views_unique
github.com,50,12
Google,25,13
Bing,11,3
chatgpt.com,6,1
spheric-sph.org,3,2
DuckDuckGo,3,1
sph-exa.readthedocs.io,2,2
qr.me-qr.com,1,1
