referrer,views_total,views_unique
github.com,74,8
Google,67,20
arxiv.org,20,2
sph-exa.readthedocs.io,7,1
chatgpt.com,6,1
Bing,3,3
spheric-sph.org,3,3
hpc.dmi.unibas.ch,2,1
jfavre.github.io,1,1
perplexity.ai,1,1
