referrer,views_total,views_unique
github.com,41,7
Google,26,5
spheric-sph.org,6,1
DuckDuckGo,4,1
cn.bing.com,3,3
Bing,3,1
arxiv.org,1,1
sogou.com,1,1
hpc.dmi.unibas.ch,1,1
