time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-01 00:00:00+00:00,65,13,14,2
2026-08-02 00:00:00+00:00,118,19,6,5
2026-08-03 00:00:00+00:00,121,28,85,4
2026-08-04 00:00:00+00:00,49,29,15,6
2026-08-05 00:00:00+00:00,79,45,24,8
2026-08-06 00:00:00+00:00,64,37,10,4
2026-08-07 00:00:00+00:00,31,14,5,4
2026-08-08 00:00:00+00:00,43,20,4,4
2026-08-09 00:00:00+00:00,69,23,17,5
2026-08-10 00:00:00+00:00,61,22,71,8
2026-08-11 00:00:00+00:00,170,130,41,9
2026-08-12 00:00:00+00:00,77,38,40,7
2026-08-13 00:00:00+00:00,90,36,1,1
2026-08-14 00:00:00+00:00,42,22,12,5
