referrer,views_total,views_unique
Google,68,28
github.com,16,7
sogo.uni-heidelberg.de,10,1
linkedin.com,5,1
Bing,3,2
spheric-sph.org,3,2
search.brave.com,2,2
sph-exa.readthedocs.io,2,2
