time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-09 00:00:00+00:00,33,19,1.0,1.0
2025-11-10 00:00:00+00:00,31,19,25.0,10.0
2025-11-11 00:00:00+00:00,59,31,10.0,4.0
2025-11-12 00:00:00+00:00,22,15,27.0,9.0
2025-11-13 00:00:00+00:00,51,26,71.0,9.0
2025-11-14 00:00:00+00:00,17,11,7.0,4.0
2025-11-15 00:00:00+00:00,8,6,6.0,3.0
2025-11-16 00:00:00+00:00,8,5,19.0,2.0
2025-11-17 00:00:00+00:00,8,8,21.0,8.0
2025-11-18 00:00:00+00:00,42,19,37.0,13.0
2025-11-19 00:00:00+00:00,90,36,41.0,11.0
2025-11-20 00:00:00+00:00,18,14,51.0,6.0
2025-11-21 00:00:00+00:00,32,20,35.0,9.0
2025-11-22 00:00:00+00:00,10,10,,
